Module	Section	Sample Name	Source
FastQC	all_sections	Lab2 | SRR8668758_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668758_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668771_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668771_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668756_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668756_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668769_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668769_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668773_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668773_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668772_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668772_10K_subsample_fastqc.zip
FastQC	all_sections	Lab2 | SRR8668757_10K_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lab2/SRR8668757_10K_subsample_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668757	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668757_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668771	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668771_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668774	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668774_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668755	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668755_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668758	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668758_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668773	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668773_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668755_1M_subsample	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668769	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668769_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668756	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668756_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668759	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668759_fastqc.zip
FastQC	all_sections	Lecture1 | fastqc | SRR8668772	/Users/mallonk/Desktop/DIY Transcriptomics/Lecture1/fastqc/SRR8668772_fastqc.zip
